grantee,grantee_url,amount,fiscal_year,grant_type,grant_description
American Friends of the Hebrew University,https://www.baumanfoundation.org/grantee/83,"$12,500",2011-12,General Support,
American Independent News Network (formerly Center for Independent Media),https://www.baumanfoundation.org/grantee/53,"$100,000",2009-10,General Support,
American Independent News Network (formerly Center for Independent Media),https://www.baumanfoundation.org/grantee/53,"$100,000",2008-09,General Support,
American Rights At Work Education Fund,https://www.baumanfoundation.org/grantee/54,"$50,000",2008-09,General Support,
American Sustainable Business Institute,https://www.baumanfoundation.org/grantee/213,"$30,000",2015-16,General Support,
American Sustainable Business Institute,https://www.baumanfoundation.org/grantee/213,"$30,000",2014-15,General Support,
"Arc, The",https://www.baumanfoundation.org/grantee/171,"$25,000",2015-16,General Support,
"Arc, The",https://www.baumanfoundation.org/grantee/171,"$25,000",2014-15,General Support,
"Arc, The",https://www.baumanfoundation.org/grantee/171,"$25,000",2013-14,General Support,
"Arc, The",https://www.baumanfoundation.org/grantee/171,"$25,000",2012-13,General Support,
Artists for Media Diversity,https://www.baumanfoundation.org/grantee/160,"$1,000",2012-13,General Support,
Ballot Initiative Strategy Center,https://www.baumanfoundation.org/grantee/62,"$25,000",2009-10,General Support,
Beatitude Society,https://www.baumanfoundation.org/grantee/55,"$25,000",2008-09,General Support,
Bend the Arc,https://www.baumanfoundation.org/grantee/150,"$5,000",2012-13,General Support,
Bend the Arc,https://www.baumanfoundation.org/grantee/150,"$10,000",2012-13,General Support,
Bend the Arc,https://www.baumanfoundation.org/grantee/150,"$10,000",2012-13,General Support,
Blue Green Alliance Foundation,https://www.baumanfoundation.org/grantee/84,"$40,000",2013-14,Project Grant,Regulatory Protections Project
Blue Green Alliance Foundation,https://www.baumanfoundation.org/grantee/84,"$40,000",2012-13,Project Grant,Regulatory Protections
Blue Green Alliance Foundation,https://www.baumanfoundation.org/grantee/84,"$40,000",2011-12,General Support,
Blueprint North Carolina,https://www.baumanfoundation.org/grantee/199,"$50,000",2016-17,Project Grant,State and Local Engagement on Census Preparation
Blueprint North Carolina,https://www.baumanfoundation.org/grantee/199,"$25,000",2015-16,General Support,
Blueprint North Carolina,https://www.baumanfoundation.org/grantee/199,"$20,000",2014-15,General Support,
Breast Cancer Fund,https://www.baumanfoundation.org/grantee/127,"$25,000",2012-13,General Support,
Breast Cancer Fund,https://www.baumanfoundation.org/grantee/127,"$50,000",2011-12,General Support,
Brennan Center for Justice,https://www.baumanfoundation.org/grantee/35,"$25,000",2016-17,General Support,Liberty & National Security Program
Brennan Center for Justice,https://www.baumanfoundation.org/grantee/35,"$250,000",2014-15,General Support,
Brennan Center for Justice,https://www.baumanfoundation.org/grantee/35,"$25,000",2014-15,General Support,Liberty & National Security Program
Brennan Center for Justice,https://www.baumanfoundation.org/grantee/35,"$250,000",2013-14,General Support,
Brennan Center for Justice,https://www.baumanfoundation.org/grantee/35,"$250,000",2012-13,General Support,
Brennan Center for Justice,https://www.baumanfoundation.org/grantee/35,"$200,000",2011-12,General Support,
Brennan Center for Justice,https://www.baumanfoundation.org/grantee/35,"$250,000",2010-11,General Support,
Brennan Center for Justice,https://www.baumanfoundation.org/grantee/35,"$250,000",2009-10,General Support,
Brennan Center for Justice,https://www.baumanfoundation.org/grantee/35,"$225,000",2008-09,General Support,
"Brookings Institution, The",https://www.baumanfoundation.org/grantee/56,"$10,000",2011-12,Project Grant,World Forum on Governance
CASA de Maryland,https://www.baumanfoundation.org/grantee/226,$750,2016-17,General Support,
CASA de Maryland,https://www.baumanfoundation.org/grantee/226,"$10,000",2015-16,General Support,
Catholic University,https://www.baumanfoundation.org/grantee/40,"$117,696",2016-17,Project Grant,
Catholic University,https://www.baumanfoundation.org/grantee/40,"$117,696",2015-16,Project Grant,Catholic Thought on the Environment Study
Catholic University,https://www.baumanfoundation.org/grantee/40,"$120,000",2011-12,General Support,
Catholic University,https://www.baumanfoundation.org/grantee/40,"$55,000",2010-11,Project Grant,Research on Sacraments and Liturgy
Catholic University,https://www.baumanfoundation.org/grantee/40,"$55,000",2009-10,General Support,
Catholic University,https://www.baumanfoundation.org/grantee/40,"$55,000",2008-09,General Support,
Catholics in Alliance for the Common Good,https://www.baumanfoundation.org/grantee/57,"$50,000",2008-09,General Support,
Center for American Progress,https://www.baumanfoundation.org/grantee/219,"$50,000",2016-17,Project Grant,State-level Defense of Public Safeguards
Center for American Progress,https://www.baumanfoundation.org/grantee/219,"$25,000",2014-15,General Support,
Center for Community Change,https://www.baumanfoundation.org/grantee/10,"$75,000",2016-17,General Support,
Center for Community Change,https://www.baumanfoundation.org/grantee/10,"$125,000",2015-16,General Support,
Center for Community Change,https://www.baumanfoundation.org/grantee/10,"$125,000",2014-15,General Support,
Center for Community Change,https://www.baumanfoundation.org/grantee/10,"$125,000",2013-14,General Support,
Center for Community Change,https://www.baumanfoundation.org/grantee/10,"$35,000",2013-14,Project Grant,Young Invincibles
Center for Community Change,https://www.baumanfoundation.org/grantee/10,"$125,000",2012-13,General Support,
Center for Community Change,https://www.baumanfoundation.org/grantee/10,"$125,000",2011-12,General Support,
Center for Community Change,https://www.baumanfoundation.org/grantee/10,"$40,000",2011-12,Project Grant,Progressive Economic Agenda Project
Center for Community Change,https://www.baumanfoundation.org/grantee/10,"$200,000",2009-10,General Support,
Center for Community Change,https://www.baumanfoundation.org/grantee/10,"$200,000",2008-09,General Support,
Center for Community Change,https://www.baumanfoundation.org/grantee/10,"$350,000",2008-09,General Support,
Center for Economic and Policy Research,https://www.baumanfoundation.org/grantee/128,"$15,000",2015-16,General Support,
Center for Economic and Policy Research,https://www.baumanfoundation.org/grantee/128,"$15,000",2014-15,General Support,
Center for Economic and Policy Research,https://www.baumanfoundation.org/grantee/128,"$15,000",2013-14,General Support,
Center for Economic and Policy Research,https://www.baumanfoundation.org/grantee/128,"$15,000",2012-13,General Support,
Center for Economic and Policy Research,https://www.baumanfoundation.org/grantee/128,"$5,000",2011-12,General Support,
Center for Effective Government (formerly Focus Project/OMB Watch),https://www.baumanfoundation.org/grantee/34,"$200,000",2015-16,General Support,
Center for Effective Government (formerly Focus Project/OMB Watch),https://www.baumanfoundation.org/grantee/34,"$275,000",2014-15,General Support,
Center for Effective Government (formerly Focus Project/OMB Watch),https://www.baumanfoundation.org/grantee/34,"$37,500",2014-15,Project Grant,Chemical Industry Regulatory Compliance
Center for Effective Government (formerly Focus Project/OMB Watch),https://www.baumanfoundation.org/grantee/34,"$275,000",2013-14,General Support,
Center for Effective Government (formerly Focus Project/OMB Watch),https://www.baumanfoundation.org/grantee/34,"$275,000",2012-13,General Support,
Center for Effective Government (formerly Focus Project/OMB Watch),https://www.baumanfoundation.org/grantee/34,"$250,000",2011-12,General Support,
Center for Effective Government (formerly Focus Project/OMB Watch),https://www.baumanfoundation.org/grantee/34,"$75,000",2011-12,Project Grant,Environmental Information Initiative and Bright Lines Project
Center for Effective Government (formerly Focus Project/OMB Watch),https://www.baumanfoundation.org/grantee/34,"$41,000",2010-11,Project Grant,Environmental Information Initiative
Center for Effective Government (formerly Focus Project/OMB Watch),https://www.baumanfoundation.org/grantee/34,"$250,000",2010-11,General Support,
Center for Effective Government (formerly Focus Project/OMB Watch),https://www.baumanfoundation.org/grantee/34,"$50,000",2009-10,General Support,
Center for Effective Government (formerly Focus Project/OMB Watch),https://www.baumanfoundation.org/grantee/34,"$200,000",2009-10,General Support,
Center for Effective Government (formerly Focus Project/OMB Watch),https://www.baumanfoundation.org/grantee/34,"$200,000",2008-09,General Support,
Center for Family Representation,https://www.baumanfoundation.org/grantee/206,"$2,000",2014-15,General Support,
Center for Lobbying in the Public Interest,https://www.baumanfoundation.org/grantee/59,"$2,500",2008-09,General Support,
Center for Popular Democracy,https://www.baumanfoundation.org/grantee/172,"$90,000",2016-17,General Support,
Center for Popular Democracy,https://www.baumanfoundation.org/grantee/172,"$60,000",2015-16,General Support,
Center for Popular Democracy,https://www.baumanfoundation.org/grantee/172,"$30,000",2014-15,General Support,
Center for Popular Democracy,https://www.baumanfoundation.org/grantee/172,"$30,000",2014-15,General Support,
Center for Popular Democracy,https://www.baumanfoundation.org/grantee/172,"$5,000",2013-14,General Support,
Center for Popular Democracy,https://www.baumanfoundation.org/grantee/172,"$5,000",2012-13,General Support,
Center for Progressive Reform,https://www.baumanfoundation.org/grantee/36,"$50,000",2016-17,General Support,
Center for Progressive Reform,https://www.baumanfoundation.org/grantee/36,"$50,000",2015-16,General Support,
Center for Progressive Reform,https://www.baumanfoundation.org/grantee/36,"$50,000",2014-15,General Support,
Center for Progressive Reform,https://www.baumanfoundation.org/grantee/36,"$50,000",2013-14,General Support,
Center for Progressive Reform,https://www.baumanfoundation.org/grantee/36,"$50,000",2012-13,General Support,
Center for Progressive Reform,https://www.baumanfoundation.org/grantee/36,"$50,000",2011-12,General Support,
Center for Progressive Reform,https://www.baumanfoundation.org/grantee/36,"$50,000",2010-11,General Support,
Center for Progressive Reform,https://www.baumanfoundation.org/grantee/36,"$50,000",2008-09,General Support,
Center for Public Data Access,https://www.baumanfoundation.org/grantee/193,"$20,000",2013-14,Project Grant,Regulatory Enforcement Messaging Project
Center for Public Data Access,https://www.baumanfoundation.org/grantee/193,"$42,000",2013-14,Project Grant,Regulatory Enforcement Messaging Project
Center for Responsive Politics,https://www.baumanfoundation.org/grantee/146,"$25,000",2015-16,General Support,
Center for Responsive Politics,https://www.baumanfoundation.org/grantee/146,"$25,000",2014-15,General Support,
Center for Responsive Politics,https://www.baumanfoundation.org/grantee/146,"$25,000",2013-14,General Support,
Center for Responsive Politics,https://www.baumanfoundation.org/grantee/146,"$25,000",2011-12,General Support,
Center on Budget and Policy Priorities,https://www.baumanfoundation.org/grantee/178,"$10,000",2012-13,General Support,
Child Welfare Organizing Project,https://www.baumanfoundation.org/grantee/209,"$1,000",2014-15,General Support,
Citizens for Responsibility and Ethics in Washington,https://www.baumanfoundation.org/grantee/85,"$25,000",2015-16,General Support,
Citizens for Responsibility and Ethics in Washington,https://www.baumanfoundation.org/grantee/85,"$50,000",2014-15,General Support,
Citizens for Responsibility and Ethics in Washington,https://www.baumanfoundation.org/grantee/85,"$50,000",2013-14,General Support,
Citizens for Responsibility and Ethics in Washington,https://www.baumanfoundation.org/grantee/85,"$40,000",2012-13,General Support,
Citizens for Responsibility and Ethics in Washington,https://www.baumanfoundation.org/grantee/85,"$40,000",2011-12,General Support,
Clean Water Fund,https://www.baumanfoundation.org/grantee/63,"$100,000",2009-10,General Support,
Clean Water Fund,https://www.baumanfoundation.org/grantee/63,"$100,000",2008-09,General Support,
Coalition for Humane Immigrant Rights of Los Angeles,https://www.baumanfoundation.org/grantee/112,"$2,500",2011-12,General Support,
Colorado Civic Engagement Roundtable,https://www.baumanfoundation.org/grantee/200,"$10,000",2014-15,Project Grant,American Values Project
Colorado Immigrant Rights Coalition,https://www.baumanfoundation.org/grantee/113,"$2,500",2011-12,General Support,
"Coming Clean, Inc.",https://www.baumanfoundation.org/grantee/161,"$50,000",2012-13,Project Grant,"Safer Chemicals, Healthy Families"
Common Cause Education Fund,https://www.baumanfoundation.org/grantee/180,"$60,000",2014-15,General Support,
Common Cause Education Fund,https://www.baumanfoundation.org/grantee/180,"$15,000",2014-15,Project Grant,"End Gerrymandering Now, NC Coalition for Government and Lobbying Reform"
Common Cause Education Fund,https://www.baumanfoundation.org/grantee/180,"$3,000",2013-14,Project Grant,Common Cause New York Annual Award Dinner
Communications Consortium Media Center,https://www.baumanfoundation.org/grantee/220,"$120,000",2014-15,Project Grant,The Census Project
Community Partners,https://www.baumanfoundation.org/grantee/225,"$1,000",2015-16,Project Grant,Urban Peace Institute
Community Resource Exchange,https://www.baumanfoundation.org/grantee/145,"$10,000",2011-12,General Support,
Community Service Society of New York,https://www.baumanfoundation.org/grantee/86,"$10,000",2012-13,Project Grant,A Roadmap for Passage of Paid Sick Days in New York City
Community Service Society of New York,https://www.baumanfoundation.org/grantee/86,"$10,000",2011-12,Project Grant,Job Killer: Myth or Reality roundtable forum on paid sick days
Constitution Project,https://www.baumanfoundation.org/grantee/87,"$25,000",2013-14,Project Grant,Government Accountability and Transparency
Constitution Project,https://www.baumanfoundation.org/grantee/87,"$25,000",2012-13,General Support,
Constitution Project,https://www.baumanfoundation.org/grantee/87,"$25,000",2011-12,General Support,
"Constitution Works, The",https://www.baumanfoundation.org/grantee/73,"$50,000",2009-10,General Support,
"Constitution Works, The",https://www.baumanfoundation.org/grantee/73,"$50,000",2008-09,General Support,
DC Vote,https://www.baumanfoundation.org/grantee/65,"$20,000",2008-09,General Support,
Democracia,https://www.baumanfoundation.org/grantee/11,"$150,000",2010-11,General Support,
Democracia,https://www.baumanfoundation.org/grantee/11,"$100,000",2009-10,General Support,
Democracia,https://www.baumanfoundation.org/grantee/11,"$50,000",2008-09,General Support,
Demos,https://www.baumanfoundation.org/grantee/37,"$50,000",2011-12,Project Grant,Regulation Project
Demos,https://www.baumanfoundation.org/grantee/37,"$50,000",2010-11,Project Grant,Effective Regulation Project
Earth Day Network,https://www.baumanfoundation.org/grantee/147,"$2,000",2015-16,General Support,
Earth Day Network,https://www.baumanfoundation.org/grantee/147,"$4,000",2014-15,General Support,
Earth Day Network,https://www.baumanfoundation.org/grantee/147,"$4,000",2013-14,General Support,
Earth Day Network,https://www.baumanfoundation.org/grantee/147,"$4,000",2012-13,General Support,
Earth Day Network,https://www.baumanfoundation.org/grantee/147,"$5,000",2011-12,General Support,
Economic Opportunity Institute,https://www.baumanfoundation.org/grantee/129,"$15,000",2014-15,General Support,
Economic Opportunity Institute,https://www.baumanfoundation.org/grantee/129,"$5,000",2011-12,General Support,
Economic Policy Institute,https://www.baumanfoundation.org/grantee/26,"$185,000",2016-17,General Support,
Economic Policy Institute,https://www.baumanfoundation.org/grantee/26,"$50,000",2016-17,Project Grant,Assessing Impacts of Deregulation on the States
Economic Policy Institute,https://www.baumanfoundation.org/grantee/26,"$160,000",2015-16,General Support,
Economic Policy Institute,https://www.baumanfoundation.org/grantee/26,"$25,000",2015-16,General Support,
Economic Policy Institute,https://www.baumanfoundation.org/grantee/26,"$25,000",2015-16,General Support,
Economic Policy Institute,https://www.baumanfoundation.org/grantee/26,"$160,000",2014-15,General Support,
Economic Policy Institute,https://www.baumanfoundation.org/grantee/26,"$25,000",2014-15,General Support,
Economic Policy Institute,https://www.baumanfoundation.org/grantee/26,"$160,000",2013-14,General Support,
Economic Policy Institute,https://www.baumanfoundation.org/grantee/26,"$20,000",2013-14,General Support,
Economic Policy Institute,https://www.baumanfoundation.org/grantee/26,"$125,000",2012-13,General Support,
Economic Policy Institute,https://www.baumanfoundation.org/grantee/26,"$125,000",2011-12,General Support,
Economic Policy Institute,https://www.baumanfoundation.org/grantee/26,"$150,000",2010-11,Project Grant,Jobs vs Regulation Research
Ecotrust,https://www.baumanfoundation.org/grantee/66,"$7,000",2011-12,Project Grant,planning a workshop for economists and others on progressive regulatory reform
Ecotrust,https://www.baumanfoundation.org/grantee/66,"$25,000",2009-10,Project Grant,E3 Network
Ecotrust,https://www.baumanfoundation.org/grantee/66,"$50,000",2008-09,Project Grant,Applied Study of Economics and Environment
Electronic Privacy Information Center,https://www.baumanfoundation.org/grantee/114,"$10,000",2015-16,General Support,
Electronic Privacy Information Center,https://www.baumanfoundation.org/grantee/114,"$10,000",2014-15,General Support,
Electronic Privacy Information Center,https://www.baumanfoundation.org/grantee/114,"$10,000",2013-14,General Support,
Electronic Privacy Information Center,https://www.baumanfoundation.org/grantee/114,"$10,000",2012-13,General Support,
Electronic Privacy Information Center,https://www.baumanfoundation.org/grantee/114,"$5,000",2011-12,Project Grant,Publication of Litigation Under the Federal Open Government Laws 2012
Environmental Defense Fund,https://www.baumanfoundation.org/grantee/67,"$50,000",2011-12,Project Grant,Chemicals Policy Project
Environmental Health Fund,https://www.baumanfoundation.org/grantee/29,"$25,000",2011-12,Project Grant,American Sustainable Business Council
Environmental Health Fund,https://www.baumanfoundation.org/grantee/29,"$50,000",2011-12,Project Grant,SAFER Coalition
Environmental Health Fund,https://www.baumanfoundation.org/grantee/29,"$50,000",2010-11,Project Grant,SAFER Campaign
Environmental Health Strategy Center,https://www.baumanfoundation.org/grantee/141,"$50,000",2012-13,General Support,
Environmental Health Strategy Center,https://www.baumanfoundation.org/grantee/141,"$50,000",2011-12,General Support,
Environmental Law Institute,https://www.baumanfoundation.org/grantee/30,"$10,000",2010-11,Project Grant,Environmental Law Skills Workshop
Environmental Leadership Program,https://www.baumanfoundation.org/grantee/173,"$5,000",2012-13,General Support,
Evangelicals for Social Action,https://www.baumanfoundation.org/grantee/41,"$5,000",2010-11,General Support,
Fair Districts Now,https://www.baumanfoundation.org/grantee/202,"$20,000",2014-15,General Support,
Faith in Public Life,https://www.baumanfoundation.org/grantee/138,"$25,000",2016-17,General Support,
Faith in Public Life,https://www.baumanfoundation.org/grantee/138,"$30,000",2015-16,General Support,
Faith in Public Life,https://www.baumanfoundation.org/grantee/138,"$10,000",2014-15,Project Grant,GOTV pledge card test for African American people of faith
Faith in Public Life,https://www.baumanfoundation.org/grantee/138,"$30,000",2014-15,General Support,
Faith in Public Life,https://www.baumanfoundation.org/grantee/138,"$30,000",2013-14,General Support,
Faith in Public Life,https://www.baumanfoundation.org/grantee/138,"$25,000",2012-13,General Support,
Fay Penn Economic Development,https://www.baumanfoundation.org/grantee/162,"$30,000",2012-13,Project Grant,American Sustainable Business Council
Florida Immigrant Coalition,https://www.baumanfoundation.org/grantee/115,"$2,500",2011-12,General Support,
Four Freedoms Park Conservancy,https://www.baumanfoundation.org/grantee/175,"$2,500",2012-13,General Support,
Franklin Education Forum,https://www.baumanfoundation.org/grantee/223,"$10,000",2015-16,General Support,
Friends of the High Line,https://www.baumanfoundation.org/grantee/174,"$2,500",2012-13,Project Grant,Community Engagement Program
Friends of the Mississippi River,https://www.baumanfoundation.org/grantee/232,"$1,000",2016-17,General Support,
Fund for Constitutional Government,https://www.baumanfoundation.org/grantee/81,"$30,000",2017-18,Project Grant,Open The Government’s opinion research project
Fund for Constitutional Government,https://www.baumanfoundation.org/grantee/81,"$50,000",2016-17,General Support,
Fund for Constitutional Government,https://www.baumanfoundation.org/grantee/81,"$50,000",2015-16,General Support,OpenTheGovernment.org
Fund for Constitutional Government,https://www.baumanfoundation.org/grantee/81,"$50,000",2014-15,General Support,OpenTheGovernment.org
Fund for Constitutional Government,https://www.baumanfoundation.org/grantee/81,"$40,000",2014-15,Project Grant,Leadership and Transition Project - OpenTheGovernment.org
Fund for Constitutional Government,https://www.baumanfoundation.org/grantee/81,"$25,000",2013-14,General Support,FACT Coalition
Fund for Constitutional Government,https://www.baumanfoundation.org/grantee/81,"$50,000",2013-14,Project Grant,OpenTheGovernment.org
Fund for Constitutional Government,https://www.baumanfoundation.org/grantee/81,"$50,000",2012-13,Project Grant,Openthegovernment.org
Fund for Constitutional Government,https://www.baumanfoundation.org/grantee/81,"$50,000",2011-12,Project Grant,Openthegovernment.org
Good Jobs First,https://www.baumanfoundation.org/grantee/116,"$40,000",2016-17,General Support,
Good Jobs First,https://www.baumanfoundation.org/grantee/116,"$25,000",2015-16,General Support,
Good Jobs First,https://www.baumanfoundation.org/grantee/116,"$37,500",2014-15,Project Grant,Identifying Corporate Bad Actors
Good Jobs First,https://www.baumanfoundation.org/grantee/116,"$25,000",2014-15,General Support,
Good Jobs First,https://www.baumanfoundation.org/grantee/116,"$25,000",2013-14,General Support,
Good Jobs First,https://www.baumanfoundation.org/grantee/116,"$25,000",2012-13,General Support,
Good Jobs First,https://www.baumanfoundation.org/grantee/116,"$55,000",2011-12,General Support,
Institute for America's Future,https://www.baumanfoundation.org/grantee/68,"$1,000",2015-16,Project Grant,2015 Awards Gala
Institute for America's Future,https://www.baumanfoundation.org/grantee/68,"$100,000",2015-16,Project Grant,Public Leadership Institute's Enforcement Training Project
Institute for America's Future,https://www.baumanfoundation.org/grantee/68,"$1,500",2013-14,Project Grant,2013 Institute for America's Future Gala
Institute for America's Future,https://www.baumanfoundation.org/grantee/68,"$2,500",2011-12,Project Grant,Take Back the American Dream conference
Institute for America's Future,https://www.baumanfoundation.org/grantee/68,"$2,500",2011-12,Project Grant,Take Back the American Dream Conference
Institute for America's Future,https://www.baumanfoundation.org/grantee/68,"$50,000",2009-10,General Support,
Institute for America's Future,https://www.baumanfoundation.org/grantee/68,"$50,000",2008-09,General Support,
Institute for Policy Studies,https://www.baumanfoundation.org/grantee/69,"$25,000",2015-16,General Support,
Institute for Policy Studies,https://www.baumanfoundation.org/grantee/69,"$25,000",2014-15,General Support,
Institute for Policy Studies,https://www.baumanfoundation.org/grantee/69,"$25,000",2013-14,General Support,
Institute for Policy Studies,https://www.baumanfoundation.org/grantee/69,"$20,000",2012-13,General Support,
Institute for Policy Studies,https://www.baumanfoundation.org/grantee/69,"$25,000",2008-09,Project Grant,Hip Hop Caucus
Institute on Taxation and Economic Policy,https://www.baumanfoundation.org/grantee/142,"$25,000",2013-14,General Support,
Institute on Taxation and Economic Policy,https://www.baumanfoundation.org/grantee/142,"$50,000",2012-13,General Support,
Institute on Taxation and Economic Policy,https://www.baumanfoundation.org/grantee/142,"$10,000",2011-12,General Support,
Institute4Change,https://www.baumanfoundation.org/grantee/12,"$50,000",2016-17,General Support,
Institute4Change,https://www.baumanfoundation.org/grantee/12,"$10,000",2013-14,General Support,
Institute4Change,https://www.baumanfoundation.org/grantee/12,"$10,000",2011-12,General Support,
Institute4Change,https://www.baumanfoundation.org/grantee/12,"$100,000",2010-11,General Support,
Justice at Stake,https://www.baumanfoundation.org/grantee/79,"$35,000",2015-16,General Support,
Justice at Stake,https://www.baumanfoundation.org/grantee/79,"$35,000",2014-15,General Support,
Justice at Stake,https://www.baumanfoundation.org/grantee/79,"$35,000",2013-14,General Support,
Justice at Stake,https://www.baumanfoundation.org/grantee/79,"$35,000",2012-13,General Support,
Justice at Stake,https://www.baumanfoundation.org/grantee/79,"$35,000",2011-12,General Support,
Labor/Community Strategy Center,https://www.baumanfoundation.org/grantee/27,"$50,000",2016-17,General Support,
Labor/Community Strategy Center,https://www.baumanfoundation.org/grantee/27,"$60,000",2015-16,General Support,
Labor/Community Strategy Center,https://www.baumanfoundation.org/grantee/27,"$75,000",2014-15,General Support,
Labor/Community Strategy Center,https://www.baumanfoundation.org/grantee/27,"$100,000",2013-14,General Support,
Labor/Community Strategy Center,https://www.baumanfoundation.org/grantee/27,"$100,000",2012-13,General Support,
Labor/Community Strategy Center,https://www.baumanfoundation.org/grantee/27,"$150,000",2011-12,General Support,
Labor/Community Strategy Center,https://www.baumanfoundation.org/grantee/27,"$200,000",2010-11,General Support,
Labor/Community Strategy Center,https://www.baumanfoundation.org/grantee/27,"$200,000",2009-10,General Support,
Labor/Community Strategy Center,https://www.baumanfoundation.org/grantee/27,"$200,000",2008-09,General Support,
Lawyers' Committee for Civil Rights Under Law,https://www.baumanfoundation.org/grantee/230,"$10,000",2016-17,General Support,
Lawyers' Committee for Civil Rights Under Law,https://www.baumanfoundation.org/grantee/230,"$10,000",2015-16,General Support,
Leadership Center for the Common Good,https://www.baumanfoundation.org/grantee/163,"$15,000",2012-13,General Support,
Leadership Conference Education Fund,https://www.baumanfoundation.org/grantee/222,"$25,000",2015-16,Project Grant,Americans for Financial Reform
Leadership Conference Education Fund,https://www.baumanfoundation.org/grantee/222,"$25,000",2014-15,Project Grant,Americans for Financial Reform
League of Conservation Voters Education Fund,https://www.baumanfoundation.org/grantee/13,"$50,000",2010-11,General Support,
League of Conservation Voters Education Fund,https://www.baumanfoundation.org/grantee/13,"$150,000",2008-09,General Support,
League of Conservation Voters Education Fund,https://www.baumanfoundation.org/grantee/13,"$250,000",2008-09,Project Grant,Civic Engagement Fund
Madison Emergency Services Association,https://www.baumanfoundation.org/grantee/214,"$25,000",2014-15,Project Grant,Virginia Food Enterprise Centers
Make the Road NY,https://www.baumanfoundation.org/grantee/132,"$10,000",2013-14,General Support,
Make the Road NY,https://www.baumanfoundation.org/grantee/132,"$10,000",2011-12,Project Grant,Center for Popular Democracy
MapLight,https://www.baumanfoundation.org/grantee/152,"$25,000",2015-16,General Support,
MapLight,https://www.baumanfoundation.org/grantee/152,"$25,000",2014-15,General Support,
MapLight,https://www.baumanfoundation.org/grantee/152,"$25,000",2013-14,General Support,
MapLight,https://www.baumanfoundation.org/grantee/152,"$25,000",2012-13,General Support,
Media Impact Funders (formerly Grantmakers in Film and Electronic Media),https://www.baumanfoundation.org/grantee/131,"$2,500",2011-12,General Support,
Media Matters,https://www.baumanfoundation.org/grantee/48,"$50,000",2017-18,General Support,
Media Matters,https://www.baumanfoundation.org/grantee/48,"$75,000",2016-17,General Support,
Media Matters,https://www.baumanfoundation.org/grantee/48,"$125,000",2015-16,General Support,
Media Matters,https://www.baumanfoundation.org/grantee/48,"$125,000",2014-15,General Support,
Media Matters,https://www.baumanfoundation.org/grantee/48,"$10,000",2014-15,General Support,Franklin Education Forum
Media Matters,https://www.baumanfoundation.org/grantee/48,"$125,000",2013-14,General Support,
Media Matters,https://www.baumanfoundation.org/grantee/48,"$125,000",2012-13,General Support,
Media Matters,https://www.baumanfoundation.org/grantee/48,"$125,000",2011-12,General Support,
